timestamp,src_ip,dst_ip,query
2024-11-26 11:50:48.381164,10.11.26.3,10.11.26.183,v10.events.data.microsoft.com
2024-11-26 11:50:56.408572,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.nemotoads.health
2024-11-26 11:50:56.408916,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.nemotoads.health
2024-11-26 11:50:59.781734,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:50:59.781734,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:50:59.782088,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:50:59.782134,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:50:59.782325,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:50:59.782369,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:50:59.836575,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:50:59.836636,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:51:02.909942,10.11.26.183,10.11.26.3,ecs.office.com
2024-11-26 11:51:02.927869,10.11.26.3,10.11.26.183,ecs.office.com
2024-11-26 11:51:57.645174,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:51:57.645557,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:51:57.645705,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:51:57.645876,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:51:57.771245,10.11.26.183,10.11.26.3,windows.msn.com
2024-11-26 11:51:57.771348,10.11.26.183,10.11.26.3,windows.msn.com
2024-11-26 11:51:57.771656,10.11.26.3,10.11.26.183,windows.msn.com
2024-11-26 11:51:57.811936,10.11.26.3,10.11.26.183,windows.msn.com
2024-11-26 11:51:58.245175,10.11.26.183,10.11.26.3,www.msn.com
2024-11-26 11:51:58.245257,10.11.26.183,10.11.26.3,www.msn.com
2024-11-26 11:51:58.245558,10.11.26.3,10.11.26.183,www.msn.com
2024-11-26 11:51:58.245677,10.11.26.3,10.11.26.183,www.msn.com
2024-11-26 11:51:58.573908,10.11.26.183,10.11.26.3,th.bing.com
2024-11-26 11:51:58.574019,10.11.26.183,10.11.26.3,th.bing.com
2024-11-26 11:51:58.574687,10.11.26.183,10.11.26.3,www.bing.com
2024-11-26 11:51:58.574755,10.11.26.183,10.11.26.3,www.bing.com
2024-11-26 11:51:58.576293,10.11.26.183,10.11.26.3,img-s-msn-com.akamaized.net
2024-11-26 11:51:58.576331,10.11.26.183,10.11.26.3,img-s-msn-com.akamaized.net
2024-11-26 11:51:58.620959,10.11.26.3,10.11.26.183,img-s-msn-com.akamaized.net
2024-11-26 11:51:58.630938,10.11.26.3,10.11.26.183,img-s-msn-com.akamaized.net
2024-11-26 11:51:58.631155,10.11.26.3,10.11.26.183,www.bing.com
2024-11-26 11:51:58.632512,10.11.26.3,10.11.26.183,th.bing.com
2024-11-26 11:51:58.632694,10.11.26.3,10.11.26.183,www.bing.com
2024-11-26 11:51:58.642054,10.11.26.3,10.11.26.183,th.bing.com
2024-11-26 11:51:58.678308,10.11.26.183,10.11.26.3,api.msn.com
2024-11-26 11:51:58.678375,10.11.26.183,10.11.26.3,api.msn.com
2024-11-26 11:51:58.678622,10.11.26.183,10.11.26.3,assets.msn.com
2024-11-26 11:51:58.678664,10.11.26.183,10.11.26.3,assets.msn.com
2024-11-26 11:51:58.731588,10.11.26.3,10.11.26.183,api.msn.com
2024-11-26 11:51:58.732010,10.11.26.3,10.11.26.183,assets.msn.com
2024-11-26 11:51:58.732622,10.11.26.3,10.11.26.183,assets.msn.com
2024-11-26 11:51:58.732640,10.11.26.3,10.11.26.183,api.msn.com
